ticker,sector_group,potential_score,valuation_score,quality_score,growth_score,sentiment_score,fwd_return,fwd_return_net,decile,regime_label
BRKS,tech_hardware,29.04,1.59,32.04,36.1,37.88,-0.3,-0.31523811915822586,2,R3
BRMK,reits,35.17,43.9,50.36,2.97,97.14,-0.3,-0.32999999999999996,4,R3
BRO,non_bank_financial,66.64,62.05,59.8,85.27,63.89,0.4422089041095889,0.4341098928177012,10,R3
BROS,consumer_disc,39.94,15.02,17.59,98.53,40.0,0.8064414272181875,0.7825894006080848,5,R3
BRP,non_bank_financial,29.42,34.82,17.08,95.09,2.78,0.4870940882597834,0.45709408825978337,2,R3
BRSP,reits,55.55,65.85,50.36,,85.0,-0.16287215411558664,-0.19287215411558664,8,R3
BRX,reits,47.89,71.84,50.36,18.81,57.86,0.17522803648583785,0.1600752481032035,7,R3
BRZE,tech_software,63.7,0.0,44.24,93.58,84.96,-0.19762845849802368,-0.22083589481642873,10,R3
BSIG,non_bank_financial,39.84,77.93,68.59,,11.36,0.3768949294302144,0.3468949294302144,5,R3
BSM,energy,55.63,58.45,73.43,46.75,69.39,0.043234587670136104,0.01763164372204368,9,R3
BSX,healthcare,55.21,27.52,66.52,50.47,76.23,0.6412385400449747,0.6354918830615777,8,R3
BSY,tech_software,44.86,21.83,80.12,40.83,51.13,-0.11684782608695654,-0.12852862320513697,6,R3
BTBT,non_bank_financial,43.67,25.0,29.66,,97.22,-0.20330969267139487,-0.23330969267139487,6,R3
BV,industrials,38.39,57.33,40.44,28.99,64.29,0.7826603325415677,0.7526603325415677,4,R3
BWMN,industrials,28.25,3.46,17.44,,89.29,-0.3254504504504505,-0.35545045045045054,2,R3
BWXT,industrials,52.43,30.71,66.92,59.77,63.64,0.5086950750033188,0.4933082205231591,8,R3
BX,non_bank_financial,45.97,13.81,70.72,8.45,95.45,0.29121332014507106,0.2842346245835325,6,R3
BXP,reits,49.49,89.32,50.36,28.71,25.0,0.027430221366698593,0.017977882731419835,7,R3
BYD,consumer_disc,56.38,84.5,84.96,33.33,51.67,0.14787581699346397,0.13181352194728027,9,R3
BYND,consumer_staples,0.0,0.0,1.78,2.17,3.51,-0.5955056179775281,-0.6255056179775281,1,R3
