ticker,roe_5y_med_sf,roe_5y_med_fmp,roic_5y_med_sf,roic_5y_med_fmp,gross_margin_5y_med_sf,gross_margin_5y_med_fmp,operating_margin_5y_med_sf,operating_margin_5y_med_fmp,fcf_margin_5y_med_sf,fcf_margin_5y_med_fmp,revenue_growth_3yr_sf,revenue_growth_3yr_fmp,revenue_trend_5y_sf,revenue_trend_5y_fmp,ebitda_trend_5y_sf,ebitda_trend_5y_fmp,fcf_trend_5y_sf,fcf_trend_5y_fmp,revenue_cv_5y_sf,revenue_cv_5y_fmp,op_inc_cv_5y_sf,op_inc_cv_5y_fmp,piotroski_f_sf,piotroski_f_fmp,altman_z_sf,altman_z_fmp,n_yrs_history_sf,n_yrs_history_fmp
ACAC,0.015292024861462394,,0.014712723727439089,,,,,,,,,,,,,,,,,,0.08087773262140456,,3.0,,15.46,,2,
ACAD,-0.310356557846824,-0.310356557846824,-8.315335843075093,-26.704139433551198,0.9604643237046753,0.953481001912825,-0.3520412273182621,-0.3520412273182621,-0.11947249382151048,-0.2204703858014249,0.3607952473041991,0.3607952473041991,0.20374570445632234,0.20374570445632234,,,,,0.34482927395452695,0.34482927395452695,1.0816282499920091,1.9413836642837263,3.0,4.0,7.44,8.27,5,5.0
ACAH,0.012471789138590076,,0.012566222017710965,,,,,,,,,,,,,,,,,,0.2683594844000375,,4.0,,53.18,,2,
ACAN,-0.12077411977553346,,-0.07092928529952933,,0.9843057238169436,,0.021834797350424023,,0.20601034421868292,,-0.34014179943611633,,0.11124523683493687,,2.117936123125318,,0.2562282369382985,,0.5268460905713259,,3.401418709528638,,3.0,,1.3,,5,
ACAQ,-0.2951806912249208,,-0.2957096692399383,,,,,,,,,,,,,,,,,,,,,,0.61,,1,
ACBA,0.02287826273298846,,0.022942136079123626,,,,,,,,,,,,,,,,,,3.038381558867145,,1.0,,3.84,,3,
ACC,0.01681806810932579,,0.008069030960013934,,0.5663638366265185,,0.1781611638229767,,0.1274466316623713,,,,,,,,,,0.05602663061437499,,0.0811733462323093,,7.0,,2.63,,2,
ACCD,-0.18395892717606505,,-0.2222444198190566,,0.4535404788686757,,-0.3636748373271079,,-0.1388432725574773,,0.1559996888032693,,0.24961516537043035,,,,,,0.3341473311814739,,0.4622031514266677,,6.0,,3.68,,4,
ACCO,-0.016294284656215283,,-0.007567071772529237,,0.3036093418259023,,0.0869007060682368,,0.0641095591444784,,-0.0750597428162123,,-0.009340316201189962,,0.01066856330014829,,0.03820921985813475,,0.0905395580589711,,0.14240625517888333,,5.0,,2.51,,5,
ACEL,0.19915941461937006,,0.0951317049358842,,0.3082047067582185,,0.09553740470691037,,0.04519680382656957,,0.1266361159886007,,0.256086157990216,,0.3499732422003287,,0.31104985682559716,,0.4208902493216319,,0.7781875095695383,,4.0,,3.19,,5,
ACER,-2.7826507289222446,,-9.292579562979187,,,,-12.657451587301587,,-0.15067698412698413,,,,,,,,,,,,1.7224668388908757,,0.0,,-28.22,,3,
ACET,-0.3339615941435166,,-2.4232558139534883,,,,-2.9032012805122047,,-2.4628651460584234,,,,0.20201242802585395,,,,,,0.4353479190230389,,0.4783010772469378,,3.0,,13.85,,5,
ACHC,0.07762235677502258,,0.05040230230694074,,0.4103981805080373,,0.17493704331582557,,0.035049814223802565,,0.09919526748770147,,0.10469280865402394,,0.030517098287902656,,-5.7794782905196715,,0.16584330408631867,,0.41329712361899135,,5.0,,3.66,,5,
