ticker,sf,fmp_orig,v1_addcomp,v2_subDR,v3_subDR_AE_OCL,v1_pct,v2_pct,v3_pct,orig_pct
ROAD,380454000.0,380454000.0,218200000.0,260389000.0,218200000.0,-42.647468550731496,-31.558348709699462,-42.647468550731496,0.0
GLDD,216013000.0,216013000.0,150406000.0,190217000.0,152536000.0,-30.371783179716033,-11.941873868702347,-29.385731414313028,0.0
EDR,4997391000.0,4997391000.0,2871662000.0,4462767000.0,1922413000.0,-42.536775689554815,-10.698062248881467,-61.53166722395746,0.0
WTS,417900000.0,417900000.0,163300000.0,417900000.0,219500000.0,-60.92366594879157,0.0,-47.47547260110074,0.0
URGN,167336000.0,45949000.0,10931000.0,45949000.0,10931000.0,-93.46763398192857,-72.54087584261606,-93.46763398192857,-72.54087584261606
DEI,5671680000.0,162836000.0,60131000.0,111540000.0,91956000.0,-98.93980266869781,-98.03338693297225,-98.37868144888287,-97.12896355224554
KTB,393905000.0,393905000.0,233398000.0,385757000.0,233398000.0,-40.7476421979919,-2.0685190591640117,-40.7476421979919,0.0
LW,1624100000.0,1624100000.0,1270600000.0,1624100000.0,1322300000.0,-21.765901114463396,0.0,-18.582599593621083,0.0
NX,272867000.0,272867000.0,169244000.0,269718000.0,174573000.0,-37.97564381182041,-1.154042079108137,-36.02267771478412,0.0
MDB,578265000.0,564220000.0,19702000.0,207112000.0,19702000.0,-96.59291155439115,-64.1838949270663,-96.59291155439115,-2.42881723777161
WLK,2219000000.0,2219000000.0,812000000.0,2219000000.0,857000000.0,-63.40694006309149,0.0,-61.37899954934656,0.0
NXST,746000000.0,783000000.0,294000000.0,783000000.0,391000000.0,-60.58981233243968,4.959785522788204,-47.58713136729222,4.959785522788204
DG,6868702000.0,6868702000.0,6133414000.0,6868702000.0,6133414000.0,-10.704904653018868,0.0,-10.704904653018868,0.0
AGS,47855000.0,47855000.0,32489000.0,44446000.0,11243000.0,-32.10949744018389,-7.123602549367882,-76.50611221397973,0.0
